Swimmer name,Year of birth,Country,Time,Splits,Date
"ROBIROLA PINSACH, Jordi",1979,Spain,2:03.58,"['27.99', '31.33', '1:04.']",16 Jul 2006
"BEYER, Robert",1986,Germany,2:03.63,"['27.38', '31.83', '1:04.']",21 Jun 2006
"NAGY, Norman",1990,Hungary,2:03.71,"['27.26', '30.49', '1:05.']",29 Jul 2006
"PASZEK, Marcin",1989,Poland,2:03.76,"['28.16', '31.44', '32.62', '31.54']",23 Nov 2006
"LANDINI, Gabriele",1990,Italy,2:03.80,"['27.55', '31.10', '32.47', '32.68']",14 Dec 2006
"MIGLIORINI, Marco",1989,Italy,2:03.81,"['27.92', '32.02', '32.73', '31.14']",19 Jul 2006
"MAIELLO, Gianluca",1988,Italy,2:03.81,"['27.83', '31.57', '32.10', '32.31']",19 Jul 2006
"TURRINI, Federico",1987,Italy,2:03.81,"['27.88', '31.23', '31.67', '33.03']",19 Jul 2006
"CHASSER, Christopher",1988,Great Britain,2:03.81,[],3 Aug 2006
"KRUPPA, Jens",1976,Germany,2:03.85,"['27.80', '31.40', '1:04.']",28 Oct 2006
"GARDONIO, Luca",1979,Italy,2:03.88,"['27.22', '30.24', '31.73', '34.69']",25 Mar 2006
"FLOREA, Razvan",1980,Romania,2:03.89,[],24 Jun 2006
"BORGA, Davide",1986,Italy,2:03.90,"['28.15', '31.66', '32.55', '31.54']",25 Mar 2006
"HERNANDO SANZ, Jose Luis",1990,Spain,2:03.90,"['28.63', '31.35', '1:03.']",16 Jul 2006
"CRISPINO, Davide",1989,Italy,2:03.95,"['28.21', '31.22', '32.12', '32.40']",25 Mar 2006
"CIOLA, Enrico",1987,Italy,2:03.99,"['27.95', '31.36', '32.44', '32.24']",19 Jul 2006
"KER, Josh",1985,Great Britain,2:03.99,[],3 Aug 2006
"MIKHAILOV, Roman",1990,Russia,2:04.09,[],15 Jun 2006
"BLOOR, Stuart",1984,Great Britain,2:04.11,[],6 Apr 2006
"BORGA, Davide",1986,Italy,2:03.90,"['28.15', '31.66', '32.55', '31.54']",25 Mar 2006
"HERNANDO SANZ, Jose Luis",1990,Spain,2:03.90,"['28.63', '31.35', '1:03.']",16 Jul 2006
"CRISPINO, Davide",1989,Italy,2:03.95,"['28.21', '31.22', '32.12', '32.40']",25 Mar 2006
"CIOLA, Enrico",1987,Italy,2:03.99,"['27.95', '31.36', '32.44', '32.24']",19 Jul 2006
"KER, Josh",1985,Great Britain,2:03.99,[],3 Aug 2006
"MIKHAILOV, Roman",1990,Russia,2:04.09,[],15 Jun 2006
"BLOOR, Stuart",1984,Great Britain,2:04.11,[],6 Apr 2006
"MRCELA, Petar",1987,Croatia,2:04.14,"['27.29', '31.34', '32.05', '33.46']",14 Jul 2006
"D'ALEMA, Antonio Luca",1989,Italy,2:04.16,"['27.90', '31.71', '32.24', '32.31']",19 Jul 2006
"MESCHINI, Gianfranco",1983,Italy,2:04.19,"['28.22', '31.33', '31.93', '32.71']",25 Mar 2006
"SCHRADER, Christoph",1985,Germany,2:04.20,"['1:00.', '1:04.']",20 Jun 2006
"HERFURTH, Tino",1986,Germany,2:04.27,"['59.03', '1:05.']",11 Mar 2006
"DIETRICH, Johannes",1985,Germany,2:04.28,"['27.99', '32.38', '1:03.']",1 Apr 2006
"BURCHERI, Marco",1986,Italy,2:04.31,"['28.01', '31.44', '32.41', '32.45']",25 Mar 2006
"BIEDERMANN, Paul",1986,Germany,2:04.32,"['59.51', '1:04.']",11 Mar 2006
"QUINTANILHA, Nuno Goncalo",1987,Portugal,2:04.41,"['28.21', '31.66', '32.28', '32.26']",30 Jul 2006
"GROTT, Friedrich",1988,Germany,2:04.43,"['27.99', '32.44', '1:04.']",20 Jun 2006
"LUCK, Marcel",1989,Germany,2:04.47,"['59.01', '1:05.']",25 Mar 2006
"MORREN, Paul",1990,Great Britain,2:04.48,[],4 Nov 2006
"LE COUILLARD, Simon",1987,Great Britain,2:04.49,"['26.96', '31.62', '32.50', '33.41']",16 Mar 2006
"EVANS, Jamie",1988,Great Britain,2:04.52,[],3 Aug 2006
"WEYRICH, Patrick",1986,Germany,2:04.56,"['28.11', '31.66', '1:04.']",21 Jun 2006
"BUSSOLIN, Federico",1990,Italy,2:04.59,"['28.59', '32.59', '31.86', '31.55']",23 Jul 2006
"STEVENHEYDENS, Gino",1986,Belgium,2:04.59,"['28.61', '32.05', '1:03.']",3 Aug 2006
"FLORES GRANADO, Marcial",1987,Spain,2:04.67,"['28.08', '31.66', '1:04.']",16 Jul 2006
"KORZENIOWSKI, Pawel",1985,Poland,1:54.93,"['26.37', '29.45', '29.77', '29.34']",21 Aug 2007
"SKVORTSOV, Nikolay",1984,Russia,1:55.22,"['25.57', '28.80', '29.96', '30.89']",28 Mar 2007
"SYLANT'YEV, Denys",1976,Ukraine,1:55.48,"['25.87', '29.13', '29.81', '30.67']",4 Aug 2007
"DRYMONAKOS, Ioannis",1984,Greece,1:56.47,"['26.23', '29.85', '29.74', '30.65']",27 Mar 2007
"ADVENA, Sergiy",1984,Ukraine,1:57.06,"['26.40', '30.17', '29.89', '30.60']",27 Mar 2007
"CSEH, Laszlo",1985,Hungary,1:57.13,"['26.74', '29.93', '1:00.']",28 Jul 2007
"ROCK, Michael",1987,Great Britain,1:57.38,[],29 Jul 2007
"KEREKJARTO, Tamas",1979,Hungary,1:57.54,"['26.06', '30.01', '30.17', '31.30']",27 Mar 2007
"COSENTINO, Michele",1986,Italy,1:57.72,"['26.91', '29.51', '30.29', '31.01']",18 Dec 2007
"ALYFANTIS, Romanos-Iason",1986,Greece,1:57.91,"['25.99', '29.80', '30.85', '31.27']",27 Mar 2007
"DRZEWINSKI, Lukasz",1984,Poland,1:57.97,"['26.57', '30.06', '30.37', '30.97']",27 Mar 2007
"MANNI, Simone",1987,Italy,1:58.06,"['26.66', '30.10', '30.63', '30.67']",19 Apr 2007
"KIERZKOWSKI, Mateusz",1987,Poland,1:58.44,"['26.59', '29.77', '30.43', '31.65']",29 Nov 2007
"GHERGHEL, Ioan",1978,Romania,1:58.48,"['26.68', '30.41', '30.58', '30.81']",27 Mar 2007
"BENI, Nicolo",1986,Italy,1:58.63,"['26.80', '29.96', '30.54', '31.33']",18 Dec 2007
"FONTEYN, Mathieu",1985,Belgium,1:58.75,"['26.46', '30.55', '30.58', '31.16']",27 Mar 2007
"LEBON, Christophe",1982,France,1:58.83,"['26.10', '29.87', '31.41', '31.45']",4 Aug 2007
"JUKIC, Dinko",1989,Austria,1:58.85,"['26.73', '30.37', '31.12', '30.63']",9 Aug 2007
"VILLA, Paolo",1981,Italy,1:59.17,"['26.97', '30.30', '31.12', '30.78']",18 Dec 2007
"ROGER, Pierre",1983,France,1:59.25,"['26.74', '30.73', '30.83', '30.95']",24 Jun 2007
"ROEBUCK, Joe",1985,Great Britain,1:59.30,[],30 Mar 2007
"GANIKHIN, Maxim",1986,Russia,1:59.30,"['26.90', '30.38', '31.19', '30.83']",9 Aug 2007
"VESPE, Francesco",1983,Italy,1:59.47,"['27.01', '30.22', '31.02', '31.22']",27 Mar 2007
"CHUEV, Illya",1984,Ukraine,1:59.64,[],28 Jun 2007
"CARVALHO, Diogo Filipe",1988,Portugal,1:59.67,"['26.58', '30.42', '30.67', '32.00']",27 Mar 2007
"COOPER, Todd",1983,Great Britain,1:59.97,"['27.13', '30.80', '30.92', '31.12']",21 Aug 2007
"STARKE, Benjamin",1986,Germany,1:59.99,"['57.90', '1:02.']",15 Apr 2007
"VERRASZTO, David",1988,Hungary,2:00.00,"['27.38', '30.81', '30.87', '30.94']",27 Mar 2007
"OLIVEIRA, Pedro Diogo",1988,Portugal,2:00.10,"['28.12', '30.26', '31.65', '30.07']",4 Aug 2007
"FLORENZANO, Niccolo",1988,Italy,2:00.20,"['27.09', '30.44', '30.67', '32.00']",19 Apr 2007
"BUSSOLIN, Federico",1990,Italy,2:00.33,"['28.41', '30.71', '30.98', '30.23']",19 Jul 2007
"BABUCHOWSKI, Marcin",1984,Poland,2:00.35,"['27.28', '30.35', '30.76', '31.96']",12 Apr 2007
"MARKOVIC, Vladan",1977,Serbia,2:00.36,"['27.01', '30.34', '1:03.']",15 Apr 2007
"ZUBCSEK, Denes",1987,Hungary,2:00.39,"['27.72', '30.78', '1:01.']",28 Jul 2007
"NATULLO, Joseph Davide",1988,Italy,2:00.41,"['27.52', '30.47', '31.43', '30.99']",19 Apr 2007
"KOVRIGIN, Alexey",1981,Russia,2:00.47,[],26 Jul 2007
"GERCSAK, Balazs",1986,Hungary,2:00.47,"['28.39', '31.67', '1:00.']",27 Jul 2007
"LEFERT, Clement",1987,France,2:00.48,"['26.29', '30.44', '30.99', '32.76']",4 Aug 2007
"SJOEDIN, Simon",1986,Sweden,2:00.52,"['26.57', '30.04', '31.09', '32.82']",21 Aug 2007
"LEWANDOWSKI, Maciej",1986,Poland,2:00.61,"['26.29', '30.44', '31.15', '32.73']",29 Nov 2007
"VERLINDEN, Joeri",1988,Netherlands,2:00.63,"['26.66', '30.50', '31.59', '31.88']",6 Dec 2007
"THOMPSON, Peter",1990,Great Britain,2:00.69,"['27.32', '30.28', '31.44', '31.65']",19 Jul 2007
"KUCHTA, Rafal",1986,Poland,2:00.73,"['27.39', '30.41', '31.24', '31.69']",2 Dec 2007
"MOURAO, Duarte Rafael",1984,Portugal,2:00.78,"['26.84', '30.67', '31.30', '31.97']",9 Aug 2007
"MAYOR, Andrew",1986,Great Britain,2:00.84,[],28 Jun 2007
"DEMETIS, Vasilios",1983,Greece,2:00.90,"['27.57', '30.74', '31.14', '31.45']",25 Feb 2007
"SMITH, Lewis",1988,Great Britain,2:00.90,[],30 Jul 2007
"SASSOT, Romain",1986,France,2:00.93,"['26.80', '30.35', '31.25', '32.53']",25 Feb 2007
"DAVIES, David",1985,Great Britain,2:00.94,[],29 Jul 2007
"NUNEZ MOLANO, Javier",1983,Spain,2:01.03,"['27.36', '30.65', '1:03.']",21 Dec 2007
"EMBACHER, Toni",1987,Germany,2:01.04,"['58.17', '1:02.']",15 Apr 2007
"HERNANDO SANZ, Jose Luis",1990,Spain,2:01.04,"['27.80', '30.78', '1:02.']",21 Dec 2007
"HOLLINGSWORTH, Thomas",1988,Great Britain,2:01.08,[],29 Jul 2007
"HASBANI, Meir",1985,Israel,2:01.12,"['27.55', '30.40', '31.37', '31.80']",4 Aug 2007
"KRYLOV, Andrey",1984,Russia,2:01.25,[],26 Jul 2007
"LANDINI, Gabriele",1990,Italy,2:01.26,"['27.42', '30.63', '31.34', '31.87']",18 Dec 2007
"BIEDERMANN, Paul",1986,Germany,2:01.27,"['58.73', '1:02.']",21 Jul 2007
"PASTRAS, Sotirios",1986,Greece,2:01.30,"['27.07', '30.99', '1:03.']",4 Feb 2007
"ORDONEZ MENA, Pablo",1988,Spain,2:01.30,"['27.11', '31.01', '1:03.']",15 Apr 2007
"QUINTANILHA, Nuno Goncalo",1987,Portugal,2:01.30,"['27.57', '31.35', '30.87', '31.51']",29 Jul 2007
"TURRINI, Federico",1987,Italy,2:01.31,"['28.14', '30.54', '31.22', '31.41']",24 Jul 2007
"FERRONI, Denny",1988,Italy,2:01.40,"['26.84', '30.66', '31.83', '32.07']",18 Dec 2007
"MANDEL, Alon",1988,Israel,2:01.52,[],8 Aug 2007
"SCHILHA, Fabian",1987,Germany,2:01.72,"['58.08', '1:03.']",15 Apr 2007
"STYRZYNSKI, Adrian",1987,Poland,2:01.73,"['27.00', '31.18', '30.68', '32.87']",12 Apr 2007
"PEREIRA, Fabio Manuel",1986,Portugal,2:01.73,"['27.63', '30.65', '31.72', '31.73']",4 Aug 2007
"DIMITRIADIS, Stefanos",1989,Greece,2:01.76,[],27 Jan 2007
"KIS, Gergo",1988,Hungary,2:01.82,"['28.90', '31.92', '1:01.']",17 Feb 2007
"HOUSTON, Stuart",1989,Great Britain,2:01.84,[],29 Jul 2007
"FURLAN, Filippo",1986,Italy,2:01.85,"['27.66', '30.92', '31.31', '31.96']",19 Apr 2007
"GKIOULMPAS, Antonios",1986,Greece,2:01.88,[],30 Jun 2007
"KOCHAVI, Nadav",1985,Israel,2:01.90,"['26.86', '30.98', '31.70', '32.36']",23 Dec 2007
"RUBACEK, Michal",1986,Czech Republic,2:01.91,"['27.29', '30.50', '32.18', '31.94']",9 Aug 2007
"HEDEL, Joanes",1980,France,2:01.95,"['58.79', '1:03.']",21 Jan 2007
"IVANOV, Sergey",1991,Russia,2:01.97,"['28.41', '31.77', '30.72', '31.07']",26 Jul 2007
"ANDRIJAUSKAS, Paulius",1984,Lithuania,2:01.98,"['26.52', '30.40', '31.43', '33.63']",27 Mar 2007
"PALAZOV, Georgi",1980,Bulgaria,2:02.02,"['26.04', '29.99', '31.81', '34.18']",27 Mar 2007
"MEEUW, Helge",1984,Germany,2:02.03,"['26.62', '30.60', '32.14', '32.67']",9 Aug 2007
"GERMANO, Luca",1988,Italy,2:02.08,"['27.71', '31.26', '30.97', '32.14']",18 Dec 2007
"KUNTZ, Benjamin",1985,Germany,2:02.17,"['59.51', '1:02.']",15 Apr 2007
"PAVONI, Roberto",1991,Great Britain,2:02.17,"['27.50', '31.20', '31.86', '31.61']",21 Dec 2007
"WALLBURGER, Tim",1989,Germany,2:02.18,"['27.64', '31.33', '31.55', '31.66']",19 Jul 2007
"GAYDAR, Kostyantyn",1986,Ukraine,2:02.19,[],28 Jun 2007
"KOROTYSHKIN, Evgeny",1983,Russia,2:02.22,[],26 Jul 2007
"PASZEK, Marcin",1989,Poland,2:02.28,"['27.92', '31.48', '31.48', '31.40']",19 Jul 2007
"VOLOVNIK, Ilya",1988,Russia,2:02.29,[],26 Jul 2007
"EMELING, Gero",1988,Germany,2:02.30,"['57.03', '1:05.']",15 Apr 2007
"MADARASSY, Adam",1985,Hungary,2:02.43,"['27.54', '30.93', '32.28', '31.68']",9 Aug 2007
"ARAUJO, Joao Pedro",1985,Portugal,2:02.51,"['27.49', '31.26', '1:03.']",15 Apr 2007
"EDWARDS, Matthew",1986,Great Britain,2:02.63,[],28 Mar 2007
"D'ALEMA, Antonio Luca",1989,Italy,2:02.73,"['28.36', '30.79', '31.60', '31.98']",19 Apr 2007
"ABERSEK, Ales",1977,Slovenia,2:02.74,"['26.92', '30.72', '31.90', '33.20']",4 Aug 2007
"CZARNECKI, Mikolaj",1989,Poland,2:02.86,"['27.44', '30.46', '32.14', '32.82']",19 Jul 2007
"SKRYDLOV, Ilya",1982,Russia,2:02.89,[],26 Jul 2007
"BORGA, Davide",1986,Italy,2:03.02,[],May 2007
"VILACECA, Thomas",1990,France,2:03.02,"['27.85', '30.78', '32.18', '32.21']",24 Jun 2007
"KOVACS, Norbert",1988,Hungary,2:03.02,"['27.77', '31.62', '1:03.']",27 Jul 2007
"FRAHM, Anders",1983,Denmark,2:03.07,"['27.23', '30.65', '31.64', '33.55']",7 Jul 2007
"CEPULIS, Deividas",1989,Lithuania,2:03.07,"['27.15', '31.27', '32.78', '31.87']",19 Jul 2007
"SHMYGA, Konstantin",1988,Russia,2:03.08,[],26 Jul 2007
"PAYERAS BIAYNA, Miguel",1987,Spain,2:03.08,"['27.69', '31.17', '1:04.']",21 Dec 2007
"OBERHOLZER, Simon",1985,Switzerland,2:03.10,"['27.34', '31.64', '32.54', '31.58']",6 Dec 2007
"CRISPINO, Davide",1989,Italy,2:03.12,"['27.89', '31.11', '32.20', '31.92']",18 Dec 2007
"O'CONNELL, Florry",1984,Ireland,2:03.14,"['27.53', '30.78', '32.08', '32.75']",15 Apr 2007
"JABEN, Max G",1985,Israel,2:03.16,"['27.57', '30.95', '31.56', '33.08']",6 Dec 2007
"MACMILLAN, Iain",1986,Great Britain,2:03.17,"['27.78', '31.62', '32.05', '31.72']",18 Dec 2007
"CHASSER, Christopher",1988,Great Britain,2:03.18,"['27.28', '30.80', '32.05', '33.05']",31 Jul 2007
"VOROBYEV, Alexander",1987,Russia,2:03.19,[],26 Jul 2007
"MACCIANTI, Marco",1981,Italy,2:03.25,"['27.49', '31.54', '31.97', '32.25']",18 Dec 2007
"GYURTA, Daniel",1989,Hungary,2:03.27,"['28.05', '31.48', '1:03.']",16 Jun 2007
"RAZETO, Stefano",1986,Germany,2:03.32,"['58.72', '1:04.']",15 Apr 2007
"LUCZAK, Piotr",1992,Poland,2:03.33,"['27.27', '30.85', '32.00', '33.21']",26 Jul 2007
"ASCER, Paolo",1981,Italy,2:03.45,"['27.32', '30.90', '32.79', '32.44']",24 Jun 2007
"DMITRIEV, Artur",1989,Russia,2:03.51,[],8 Jun 2007
"MALLETT, Adam",1989,Great Britain,2:03.55,[],29 Jul 2007
"POWELL, Ian",1985,Great Britain,2:03.64,"['27.96', '31.45', '31.89', '32.34']",31 Jul 2007
"MIKHAILOV, Roman",1990,Russia,2:03.68,[],8 Jun 2007
"DOWNES, Edward",1987,Great Britain,2:03.72,"['27.77', '31.40', '31.64', '32.91']",6 Dec 2007
"ARAMPATZIS, Anestis",1990,Greece,2:03.80,[],8 Dec 2007
"DITTRICH, Marius",1986,Germany,2:03.84,"['58.68', '1:05.']",25 Mar 2007
"COCI, Alexandru",1989,Romania,2:03.84,"['27.26', '31.46', '32.37', '32.75']",19 Jul 2007
"DRUSIAN, Simone",1987,Italy,2:03.93,"['28.20', '31.54', '31.80', '32.39']",19 Apr 2007
"NAZARENKO, Dmytro",1980,Ukraine,2:03.95,[],28 Jun 2007
"KURKO, Maxim",1989,Russia,2:03.96,[],8 Jun 2007
"PADALETS, Alexander",1984,Russia,2:03.96,[],26 Jul 2007
"BURCHERI, Marco",1986,Italy,2:03.98,"['28.12', '31.55', '31.89', '32.42']",18 Dec 2007
"MUNOZ PEREZ, Rafael",1988,Spain,2:04.00,"['26.98', '32.16', '1:04.']",26 Jul 2007
"BACHMANN, Stephan",1984,Switzerland,2:04.02,"['28.06', '31.18', '32.09', '32.69']",11 May 2007
"MARCHANT, Cyril",1989,France,2:04.04,"['27.93', '31.75', '32.10', '32.26']",19 Jul 2007
"BICZO, Bence",1993,Hungary,2:04.07,"['28.20', '32.21', '1:03.']",3 Aug 2007
"COX, Martin",1989,Great Britain,2:04.09,[],29 Jul 2007
"DIMITRIEV, Artur",1989,Russia,2:04.10,[],26 Jul 2007
"SVOBODA, Kvetoslav",1982,Czech Republic,2:04.12,"['1:00.', '1:03.']",21 Apr 2007
"FEREN, Erez",1985,Israel,2:04.14,[],8 Aug 2007
"STEVENHEYDENS, Gino",1986,Belgium,2:04.16,"['27.97', '31.15', '1:05.']",2 Aug 2007
"ROKI, Niksa",1988,Croatia,2:04.18,"['27.52', '31.76', '32.76', '32.14']",31 Jul 2007
"ZERBINI, Stefano",1975,Italy,2:04.22,"['27.49', '31.12', '32.15', '33.46']",19 Apr 2007
"CHRISTENSEN, Chris",1988,Denmark,2:04.27,"['28.09', '32.05', '32.18', '31.95']",4 Mar 2007
"IASIELLO, Marcello",1988,Italy,2:04.27,"['28.52', '31.69', '32.00', '32.06']",6 Aug 2007
"MASSONE, Marco",1987,Italy,2:04.28,"['28.00', '31.48', '32.17', '32.63']",18 Dec 2007
"BOGGIATTO, Alessio",1981,Italy,2:04.31,"['28.12', '31.69', '32.42', '32.08']",27 May 2007
"KER, Josh",1985,Great Britain,2:04.33,"['28.04', '31.73', '32.77', '31.79']",6 Dec 2007
"CIESLAK, Marcin",1992,Poland,2:04.36,"['27.54', '31.44', '32.89', '32.49']",29 Nov 2007
"LENADOR RIVAS, Carlos",1987,Spain,2:04.38,"['27.90', '31.68', '1:04.']",26 Jul 2007
"TEPLOVSKIY, Andrey",1989,Russia,2:04.41,[],7 Feb 2007
"SZANA, Zsombor",1992,Hungary,2:04.47,"['28.25', '32.01', '1:04.']",3 Aug 2007
"SCHNEITER, Christian",1984,Switzerland,2:04.48,"['27.25', '31.68', '31.98', '33.57']",9 Aug 2007
"KALUZHSKIY, Alexander",1986,Russia,2:04.49,[],7 Feb 2007
"BARTOS, Dominik",1987,Czech Republic,2:04.49,"['27.77', '31.90', '1:04.']",13 Jul 2007
"VETICA, Francesco",1987,Italy,2:04.51,"['28.31', '31.35', '32.21', '32.64']",6 Aug 2007
"SVOBODA, Kvetoslav",1982,Czech Republic,2:04.12,"['1:00.', '1:03.']",21 Apr 2007
"FEREN, Erez",1985,Israel,2:04.14,[],8 Aug 2007
"STEVENHEYDENS, Gino",1986,Belgium,2:04.16,"['27.97', '31.15', '1:05.']",2 Aug 2007
"ROKI, Niksa",1988,Croatia,2:04.18,"['27.52', '31.76', '32.76', '32.14']",31 Jul 2007
"ZERBINI, Stefano",1975,Italy,2:04.22,"['27.49', '31.12', '32.15', '33.46']",19 Apr 2007
"CHRISTENSEN, Chris",1988,Denmark,2:04.27,"['28.09', '32.05', '32.18', '31.95']",4 Mar 2007
"IASIELLO, Marcello",1988,Italy,2:04.27,"['28.52', '31.69', '32.00', '32.06']",6 Aug 2007
"MASSONE, Marco",1987,Italy,2:04.28,"['28.00', '31.48', '32.17', '32.63']",18 Dec 2007
"BOGGIATTO, Alessio",1981,Italy,2:04.31,"['28.12', '31.69', '32.42', '32.08']",27 May 2007
"KER, Josh",1985,Great Britain,2:04.33,"['28.04', '31.73', '32.77', '31.79']",6 Dec 2007
"CIESLAK, Marcin",1992,Poland,2:04.36,"['27.54', '31.44', '32.89', '32.49']",29 Nov 2007
"LENADOR RIVAS, Carlos",1987,Spain,2:04.38,"['27.90', '31.68', '1:04.']",26 Jul 2007
"TEPLOVSKIY, Andrey",1989,Russia,2:04.41,[],7 Feb 2007
"SZANA, Zsombor",1992,Hungary,2:04.47,"['28.25', '32.01', '1:04.']",3 Aug 2007
"SCHNEITER, Christian",1984,Switzerland,2:04.48,"['27.25', '31.68', '31.98', '33.57']",9 Aug 2007
"KALUZHSKIY, Alexander",1986,Russia,2:04.49,[],7 Feb 2007
"BARTOS, Dominik",1987,Czech Republic,2:04.49,"['27.77', '31.90', '1:04.']",13 Jul 2007
"VETICA, Francesco",1987,Italy,2:04.51,"['28.31', '31.35', '32.21', '32.64']",6 Aug 2007
"VILLAECIJA GARCIA, Alex",1990,Spain,2:04.54,"['27.62', '31.55', '1:05.']",21 Dec 2007
"RESCH, Alessandro",1980,Italy,2:04.55,"['27.50', '31.81', '32.33', '32.91']",20 Jan 2007
"MASCHI, Niccolo'",1990,Italy,2:04.55,"['27.78', '31.34', '32.65', '32.78']",19 Apr 2007
"SIGRIST, Matthias",1985,Switzerland,2:04.57,"['27.98', '31.78', '32.22', '32.59']",31 Jul 2007
"KREUTZER, Matthias",1986,Germany,2:04.66,"['58.92', '1:05.']",15 Apr 2007
"NAGY, Norman",1990,Hungary,2:04.69,"['27.58', '31.77', '1:05.']",31 Mar 2007
"LUCK, Marcel",1989,Germany,2:04.69,"['58.37', '1:06.']",15 Apr 2007
"CSEH, Laszlo",1985,Hungary,1:56.52,"['24.95', '28.50', '34.56', '28.51']",15 Aug 2008
"GODDARD, James",1983,Great Britain,1:57.72,[],2 Apr 2008
"TANCOCK, Liam",1985,Great Britain,1:57.79,[],1 Apr 2008
"BOGGIATTO, Alessio",1981,Italy,1:58.80,"['26.11', '30.85', '33.75', '28.09']",13 Aug 2008
"TAIT, Gregor",1979,Great Britain,1:59.15,[],1 Apr 2008
"JANUSAITIS, Vytautas",1981,Lithuania,1:59.63,"['25.39', '30.35', '34.94', '28.95']",13 Aug 2008
"JUKIC, Dinko",1989,Austria,1:59.65,"['25.27', '30.45', '35.35', '28.58']",20 Mar 2008
"NEVO, Gal",1987,Israel,1:59.66,"['26.15', '31.26', '33.86', '28.39']",13 Aug 2008
"DALE, Euan",1985,Great Britain,1:59.90,[],1 Apr 2008
"KEREKJARTO, Tamas",1979,Hungary,2:00.32,"['25.73', '30.88', '35.08', '28.63']",19 Mar 2008
"CARVALHO, Diogo Filipe",1988,Portugal,2:00.40,"['25.83', '31.27', '34.93', '28.37']",19 Mar 2008
"ALEXANDROV, Mihail",1985,Bulgaria,2:00.70,"['25.90', '31.81', '33.78', '29.21']",13 Aug 2008
"TURRINI, Federico",1987,Italy,2:00.73,"['26.78', '30.51', '34.95', '28.49']",1 Apr 2008
"MOHAMMED, Xavier",1990,Great Britain,2:00.73,"['26.32', '30.33', '35.39', '28.69']",1 Aug 2008
"CABELLO FORNS, Brenton",1981,Spain,2:01.10,"['25.79', '1:35.']",5 Apr 2008
"ROEBUCK, Joe",1985,Great Britain,2:01.12,[],1 Apr 2008
"TIKHONOV, Alexander",1988,Russia,2:01.21,"['25.96', '29.88', '36.03', '29.34']",13 Aug 2008
"KOKKODIS, Ioannis",1981,Greece,2:01.22,"['26.13', '30.68', '34.64', '29.77']",13 Aug 2008
"KVALE, Gard",1984,Norway,2:01.52,"['26.26', '30.98', '35.50', '28.78']",13 Aug 2008
"WOJT, Lukasz",1982,Poland,2:01.54,"['26.09', '30.45', '35.83', '29.17']",13 Aug 2008
"LEPS'KYY, Vadym",1985,Ukraine,2:01.73,"['27.54', '30.91', '34.59', '28.69']",13 Aug 2008
"IMPRIC, Sasa",1986,Croatia,2:01.83,"['26.21', '29.87', '34.92', '30.83']",13 Aug 2008
"VERRASZTO, David",1988,Hungary,2:02.12,"['26.60', '31.20', '34.34', '29.98']",19 Mar 2008
"KASPROWICZ, Kamil",1984,Germany,2:02.20,"['26.59', '31.54', '34.62', '29.45']",21 Jun 2008
"DEIBLER, Markus",1990,Germany,2:02.23,"['26.79', '32.29', '34.48', '28.67']",22 Apr 2008
"MANGONI, Vanni",1985,Italy,2:02.26,"['26.66', '30.31', '34.94', '30.35']",5 Apr 2008
"COLUPAEV, Dimitri",1990,Germany,2:02.28,"['25.52', '32.17', '35.68', '28.91']",9 Jul 2008
"KRYLOV, Andrey",1984,Russia,2:02.35,[],20 Feb 2008
"SOULIER, Christophe",1984,France,2:02.37,"['26.08', '30.94', '35.60', '29.75']",24 Apr 2008
"CABELLO FORNS, Alan",1988,Spain,2:02.45,"['27.13', '31.42', '34.97', '28.93']",15 Jun 2008
"LEBHERZ, Yannick",1989,Germany,2:02.58,"['25.93', '30.67', '36.43', '29.55']",11 Jun 2008
"HORTH, Fabien",1985,France,2:02.69,"['26.56', '32.25', '34.31', '29.57']",24 Apr 2008
"SCHEPERS, Jan David",1990,Germany,2:02.70,"['25.87', '32.45', '35.72', '28.66']",11 Jun 2008
"HASBANI, Meir",1985,Israel,2:02.77,"['26.63', '31.11', '35.53', '29.50']",19 Mar 2008
"FUCIK, Tomas",1985,Czech Republic,2:02.85,"['26.78', '32.18', '34.09', '29.80']",13 Aug 2008
"CHRISTENSEN, Chris",1988,Denmark,2:02.93,"['26.83', '31.30', '34.60', '30.20']",13 Aug 2008
"LENDJEL, Dominique",1985,Germany,2:02.98,"['25.70', '31.64', '36.33', '29.31']",22 Apr 2008
"TUMIOTTO, Leonardo",1983,Italy,2:03.00,"['27.17', '31.60', '35.27', '28.96']",1 Apr 2008
"JAMIESON, Michael",1988,Great Britain,2:03.00,"['1:00.', '1:02.']",2 Aug 2008
"KIS, Gergo",1988,Hungary,2:03.18,"['28.54', '31.06', '1:03.']",12 Jul 2008
"FEBBRARO, Nicola",1981,Italy,2:03.30,"['26.76', '31.35', '36.32', '28.87']",19 Mar 2008
"JASINSKI, Jakub",1987,Poland,2:03.42,[],15 Jun 2008
"KALENOV, Dmitry",1984,Russia,2:03.46,[],7 Jun 2008
"DUDA, Andrejs",1981,Latvia,2:03.53,"['26.05', '32.40', '35.56', '29.52']",10 Jul 2008
"LIIVAMAEGI, Martin",1988,Estonia,2:03.56,"['26.19', '30.93', '35.51', '30.93']",13 Aug 2008
"DRYMONAKOS, Ioannis",1984,Greece,2:03.59,"['26.25', '31.70', '1:05.']",11 Jan 2008
"LEFERT, Clement",1987,France,2:03.65,"['26.30', '32.46', '36.64', '28.25']",24 Apr 2008
