Swimmer name,Year of birth,Country,Time,Splits,Date
"BATHAZI, Istvan",1978,Hungary,2:07.99,"['27.83', '33.97', '36.85', '29.34']",16 May 2010
"KATSAMPANIS, Petros",1992,Greece,2:08.00,"['27.93', '33.03', '36.40', '30.64']",28 Mar 2010
"GRULA, Mateusz",1993,Poland,2:08.03,"['27.01', '32.85', '37.29', '30.88']",5 Jun 2010
"DIENER, Christian",1993,Germany,2:08.05,"['27.13', '31.08', '1:09.']",1 Jul 2010
"RAVNAN, Eirik",1989,Norway,2:08.05,"['27.88', '32.45', '37.35', '30.37']",8 Jul 2010
"FESENKO, Kyrylo",1986,Ukraine,2:08.06,"['27.96', '33.10', '36.79', '30.21']",23 Jun 2010
"SARGENT, John",1985,Great Britain,2:08.08,[],2 Apr 2010
"LEFOL, Vincent",1992,France,2:08.08,"['28.06', '33.02', '37.21', '29.79']",22 Apr 2010
"MARONGIU, Riccardo",1988,Italy,2:08.11,"['26.39', '33.22', '37.17', '31.33']",19 Jun 2010
"HANSEN, Tobias Urban",1987,Denmark,2:08.21,"['27.26', '32.45', '37.87', '30.63']",27 Mar 2010
"LAGERQVIST, Anton",1991,Sweden,2:08.25,"['27.47', '1:40.']",9 Jun 2010
"VERREUSSEL, Davy",1989,Netherlands,2:08.26,"['28.24', '34.00', '35.84', '30.18']",19 Jun 2010
"CHALINTEI-CHRISTOPOULOS, Stefanos",1993,Greece,2:08.28,[],7 May 2010
"CANLAN-SHAW, Joseph",1988,Great Britain,2:07.90,[],4 Apr 2010
"BERGER, Jamie",1993,Germany,2:07.91,"['27.63', '32.89', '1:07.']",4 Jun 2010
"BACKHAUS, Robin",1989,Germany,2:07.95,"['26.54', '32.84', '1:08.']",30 Jan 2010
"HAYET, Nimrod",1991,Israel,2:07.96,"['27.11', '32.54', '37.29', '31.02']",16 May 2010
"JELENAK, Pavol",1992,Slovakia,2:07.97,"['27.54', '33.52', '37.09', '29.82']",15 Jul 2010
"GAETANI, Giorgio",1994,Italy,2:07.97,[],18 Jul 2010
"JOUVION, Matthieu",1988,France,2:07.97,"['27.43', '1:40.']",20 Jul 2010
"BATHAZI, Istvan",1978,Hungary,2:07.99,"['27.83', '33.97', '36.85', '29.34']",16 May 2010
"KATSAMPANIS, Petros",1992,Greece,2:08.00,"['27.93', '33.03', '36.40', '30.64']",28 Mar 2010
